TimesH,Frame,NoMissing,36,36,65,65,100,100,133,133,135,135,148,148,150,150,151,151,235,235,240,240,252,252,305,305,311,311,312,312,1117,1117,1290,1290,1367,1367,1415,1415,1692,1692,1725,1725,1846,1846,1947,1947,1969,1969,2045,2045,2086,2086,2123,2123,2331,2331,2337,2337,2408,2408,2409,2409,2431,2431,2447,2447,2453,2453,2499,2499,2522,2522,2566,2566,2580,2580,2640,2640,2647,2647,2660,2660,2667,2667,2711,2711,2810,2810,3114,3114,3148,3148,3363,3363,3482,3482,3493,3493,3692,3692,3695,3695,3704,3704,3760,3760,3843,3843,3890,3890,3958,3958,4019,4019,4063,4063,4107,4107,4154,4154,4182,4182,4216,4216,4227,4227,4232,4232,4240,4240,4254,4254,4261,4261,4303,4303
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
361.0,1444.0,,155.667,158.991,122.155,175.998,110.70100000000001,181.51,141.793,194.995,97.184,193.8,146.565,187.046,102.81700000000001,188.08599999999998,119.62200000000001,187.47099999999998,114.13,111.869,102.76,148.548,168.37,144.984,92.891,204.701,120.32700000000001,202.93,110.838,202.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.25,1445.0,,155.655,158.95,122.19,175.986,110.652,181.497,141.8,194.96099999999998,97.211,193.774,146.591,187.007,102.821,188.03400000000002,119.62799999999999,187.452,114.09,111.744,102.76299999999999,148.53,168.388,144.957,92.916,204.685,120.315,202.919,110.833,202.68200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.5,1446.0,,155.653,158.88299999999998,122.194,175.94299999999998,110.691,181.46900000000002,141.83,194.923,97.22,193.75099999999998,146.662,187.00599999999997,102.73899999999999,188.015,119.64,187.419,114.109,111.69200000000001,102.76899999999999,148.536,168.4,144.894,92.917,204.68400000000003,120.301,202.912,110.726,202.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.75,1447.0,,155.632,158.856,122.209,175.893,110.73700000000001,181.453,141.836,194.93599999999998,97.23299999999999,193.734,146.68,187.005,102.868,188.051,119.65299999999999,187.37099999999998,114.14200000000001,111.631,102.773,148.531,168.39,144.838,92.891,204.71200000000002,120.306,202.87900000000002,110.765,202.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.0,1448.0,,155.605,158.809,122.20200000000001,175.858,110.72,181.424,141.83,194.99200000000002,97.244,193.72099999999998,146.70600000000002,187.016,102.98100000000001,188.08900000000003,119.616,187.347,113.755,111.68,102.77,148.53799999999998,168.396,144.805,92.848,204.636,120.273,202.895,110.738,202.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.25,1449.0,,155.572,158.701,122.23299999999999,175.80599999999998,110.764,181.412,141.86,194.96400000000003,97.24799999999999,193.703,146.751,186.984,103.094,188.02900000000002,119.662,187.334,113.705,111.68799999999999,102.78,148.53,168.408,144.751,92.899,204.636,120.29299999999999,202.887,110.671,202.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.5,1450.0,,155.559,158.628,122.24600000000001,175.745,110.80799999999999,181.41099999999997,141.845,194.91400000000002,97.24600000000001,193.687,146.74200000000002,186.945,103.086,187.988,119.637,187.30700000000002,113.70200000000001,111.56299999999999,102.76700000000001,148.534,168.418,144.713,92.86200000000001,204.66400000000002,120.31,202.87599999999998,110.69,202.75400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.75,1451.0,,155.546,158.621,122.244,175.696,110.845,181.423,141.84799999999998,194.863,97.25200000000001,193.68099999999998,146.75799999999998,186.87400000000002,103.24,188.013,119.645,187.287,113.712,111.551,102.766,148.512,168.438,144.64700000000002,92.82,204.638,120.324,202.873,110.62799999999999,202.74400000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363.0,1452.0,,155.518,158.572,122.27799999999999,175.64700000000002,110.823,181.40099999999998,141.838,194.83599999999998,97.256,193.65099999999998,146.744,186.864,103.449,188.024,119.664,187.239,113.624,111.191,102.76700000000001,148.515,168.465,144.561,92.86399999999999,204.588,120.316,202.845,110.62799999999999,202.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363.25,1453.0,,155.554,158.392,122.29,175.612,110.815,181.37400000000002,141.819,194.804,97.274,193.63299999999998,146.702,186.899,103.471,188.03,119.67299999999999,187.21599999999998,113.76100000000001,111.399,102.76,148.518,168.45,144.536,92.875,204.572,120.31200000000001,202.834,110.604,202.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
